id,duration,PAS,NAS
s0001,8,,
s0003,3,,
s0005,5,,
s0006,27,,
s0007,6,,
s0008,7,,
s0009,5,,
s0010,8,,
s0011,8,,
s0012,10,,
s0013,4,,
s0014,4,,
s0017,5,,
s0018,12,,
s0020,8,,
s0021,6,,
s0022,6,,
s0025,9,,
s0026,6,,
s0027,5,,
s0028,9,,
s0029,5,,
s0030,7,,
s0031,9,,
s0032,8,,
s0034,4,,
s0036,6,,
s0037,11,,
s0038,5,,
s0039,5,,
s0040,17,,
s0041,3,,
s0043,8,,
s0044,36,51.0,10.0
s0045,41,43.0,21.0
s0046,35,37.0,17.0
s0047,53,41.0,10.0
s0048,60,54.0,11.0
s0049,40,28.0,11.0
s0050,45,12.0,18.0
s0051,35,32.0,11.0
s0052,46,34.0,12.0
s0054,79,36.0,10.0
s0057,31,24.0,11.0
s0058,129,16.0,14.0
s0059,76,50.0,25.0
s0060,38,43.0,10.0
s0061,457,48.0,10.0
s0062,70,43.0,11.0
s0063,58,40.0,29.0
s0064,33,43.0,15.0
s0066,55,46.0,11.0
s0068,46,42.0,10.0
s0069,67,40.0,10.0
s0071,90,37.0,10.0
s0072,49,46.0,10.0
s0074,48,28.0,33.0
s0075,36,32.0,11.0
s0076,46,38.0,10.0
s0077,44,43.0,22.0
s0079,38,49.0,10.0
s0081,51,30.0,20.0
s0082,34,24.0,11.0
s0083,46,31.0,36.0
s0084,44,46.0,10.0
s0085,37,30.0,10.0
s0088,58,34.0,11.0
s0091,31,51.0,15.0
s0092,62,33.0,20.0
s0093,47,28.0,12.0
s0094,45,49.0,11.0
s0096,63,43.0,22.0
s0097,48,42.0,14.0
s0098,43,27.0,11.0
s0100,56,26.0,27.0
s0101,41,23.0,29.0
s0103,101,44.0,17.0
s0104,44,36.0,10.0
s0105,146,29.0,23.0
s0106,55,22.0,26.0
s0107,65,28.0,45.0
s0108,45,39.0,15.0
s0109,81,37.0,13.0
s0110,67,36.0,11.0
s0111,69,29.0,20.0
s0113,56,45.0,11.0
s0114,46,21.0,19.0
s0115,193,40.0,10.0
s0116,58,40.0,10.0
s0117,70,49.0,11.0
s0119,68,36.0,12.0
s0120,76,35.0,18.0
s0121,55,46.0,10.0
s0122,74,34.0,30.0
s0124,55,24.0,46.0
s0126,44,21.0,10.0
s0128,53,38.0,16.0
s0129,29,48.0,20.0
s0130,48,34.0,14.0
s0131,45,31.0,15.0
s0132,45,52.0,16.0
s0133,52,42.0,11.0
s0134,49,30.0,17.0
s0136,77,34.0,12.0
s0137,49,32.0,14.0
s0139,58,44.0,21.0
s0140,44,51.0,34.0
s0141,40,33.0,10.0
s0142,101,48.0,10.0
s0143,74,38.0,10.0
s0145,43,46.0,17.0
s0146,35,26.0,15.0
s0147,36,51.0,10.0
s0148,43,45.0,10.0
s0150,56,39.0,17.0
s0151,51,21.0,13.0
s0152,41,40.0,13.0
s0153,59,29.0,18.0
s0154,57,31.0,16.0
s0155,45,17.0,16.0
s0156,33,35.0,10.0
s0157,95,35.0,12.0
s0158,62,21.0,25.0
s0159,181,36.0,33.0
s0160,61,41.0,10.0
s0162,63,48.0,16.0
s0164,77,31.0,25.0
s0165,52,37.0,11.0
s0166,39,25.0,10.0
s0167,33,20.0,22.0
s0168,45,55.0,10.0
s0169,62,47.0,10.0
s0171,39,41.0,14.0
s0172,70,19.0,17.0
s0173,213,58.0,14.0
s0174,58,31.0,13.0
s0177,51,31.0,11.0
s0178,82,45.0,13.0
s0179,82,20.0,21.0
s0180,73,41.0,12.0
s0181,35,40.0,11.0
s0182,74,40.0,58.0
s0183,56,30.0,22.0
s0185,41,44.0,12.0
s0187,29,13.0,11.0
s0188,53,28.0,11.0
s0189,48,41.0,23.0
s0190,61,50.0,10.0
s0192,63,37.0,20.0
s0194,65,30.0,21.0
s0195,50,26.0,28.0
s0196,77,45.0,10.0
s0197,54,48.0,22.0
s0198,65,38.0,15.0
s0199,42,46.0,10.0
s0200,200,47.0,8.0
s0201,94,35.0,10.0
s0203,54,55.0,10.0
s0204,49,49.0,15.0
